Date,Open,High,Low,Close,Adj Close,Volume
2019-01-22,10.280000,10.500000,10.150000,10.500000,10.500000,55500
2019-01-23,10.500000,10.820000,10.290000,10.820000,10.820000,72200
2019-01-24,10.750000,10.750000,10.340000,10.370000,10.370000,61600
2019-01-25,10.420000,10.750000,10.420000,10.750000,10.750000,56000
2019-01-28,10.620000,11.000000,10.560000,11.000000,11.000000,48900
2019-01-29,11.010000,11.500000,10.800000,11.500000,11.500000,394300
2019-01-30,11.500000,12.000000,11.350000,12.000000,12.000000,208700
2019-01-31,12.000000,12.000000,11.510000,11.900000,11.900000,89500
2019-02-01,11.800000,11.990000,11.520000,11.970000,11.970000,51500
2019-02-04,11.990000,12.990000,11.810000,12.940000,12.940000,398200
2019-02-05,12.760000,12.960000,12.367000,12.820000,12.820000,130600
2019-02-06,12.930000,13.338000,12.810000,13.050000,13.050000,113400
2019-02-07,12.860000,13.320000,12.050000,13.060000,13.060000,208300
2019-02-08,12.960000,13.150000,12.843000,13.080000,13.080000,47600
2019-02-11,13.050000,13.230000,12.380000,13.210000,13.210000,149400
2019-02-12,13.030000,13.640000,12.880000,13.550000,13.550000,231100
2019-02-13,13.560000,13.690000,13.402000,13.610000,13.610000,141600
2019-02-14,13.290000,13.730000,13.270000,13.660000,13.660000,177000
2019-02-15,13.600000,14.980000,13.600000,14.730000,14.730000,378200
2019-02-19,14.770000,16.549999,14.770000,16.240000,16.240000,925100
2019-02-20,16.200001,16.700001,15.560000,16.610001,16.610001,339200
2019-02-21,16.600000,16.600000,15.220000,16.500000,16.500000,374600
2019-02-22,16.500000,16.879999,16.240000,16.840000,16.840000,199000
2019-02-25,18.309999,18.520000,17.510000,18.309999,18.309999,413400
2019-02-26,18.299999,19.090000,18.299999,18.840000,18.840000,396700
2019-02-27,18.840000,18.840000,17.510000,18.559999,18.559999,410100
2019-02-28,18.500000,18.799999,18.110001,18.670000,18.670000,243600
2019-03-01,18.799999,19.290001,18.680000,19.059999,19.059999,346800
2019-03-04,19.500000,19.660000,16.910000,17.750000,17.750000,484800
2019-03-05,17.700001,18.190001,17.400000,18.059999,18.059999,319800
2019-03-06,17.780001,18.285000,17.200001,17.520000,17.520000,382300
2019-03-07,17.049999,17.049999,13.990000,15.330000,15.330000,946600
2019-03-08,14.610000,15.160000,14.410000,15.050000,15.050000,251200
2019-03-11,15.090000,16.320000,14.680000,15.250000,15.250000,553300
2019-03-12,15.250000,16.170000,15.250000,15.800000,15.800000,267300
2019-03-13,15.800000,16.760000,15.600000,16.750000,16.750000,409300
2019-03-14,17.000000,17.610001,13.200000,14.560000,14.560000,1014900
2019-03-15,14.790000,15.870000,14.790000,15.420000,15.420000,410700
2019-03-18,15.730000,16.061001,14.000000,14.440000,14.440000,912800
2019-03-19,14.500000,14.910000,14.241000,14.420000,14.420000,206000
2019-03-20,14.370000,14.398000,13.310000,13.500000,13.500000,421900
2019-03-21,13.410000,14.070000,13.281000,13.900000,13.900000,329700
2019-03-22,13.620000,13.940000,13.210000,13.560000,13.560000,124000
2019-03-25,13.420000,13.550000,12.720000,13.090000,13.090000,293000
2019-03-26,13.170000,13.545000,13.150000,13.400000,13.400000,118900
2019-03-27,13.390000,13.470000,12.920000,12.960000,12.960000,156700
2019-03-28,12.970000,13.260000,12.410000,13.190000,13.190000,306100
2019-03-29,13.280000,13.500000,13.020000,13.090000,13.090000,84100
2019-04-01,13.310000,13.880000,13.310000,13.730000,13.730000,166000
2019-04-02,13.900000,13.978000,13.205000,13.330000,13.330000,120100
2019-04-03,13.500000,14.300000,13.410000,13.900000,13.900000,152900
2019-04-04,13.800000,14.100000,13.720000,13.950000,13.950000,76600
2019-04-05,13.890000,14.210000,13.835000,14.070000,14.070000,66900
2019-04-08,13.900000,14.140000,13.724000,14.050000,14.050000,109800
2019-04-09,14.030000,14.030000,13.450000,13.880000,13.880000,148600
2019-04-10,14.010000,14.590000,14.010000,14.460000,14.460000,205600
2019-04-11,14.450000,14.630000,14.100000,14.240000,14.240000,111800
2019-04-12,14.560000,14.560000,13.510000,13.710000,13.710000,112700
2019-04-15,13.440000,13.450000,12.500000,12.580000,12.580000,231800
2019-04-16,12.730000,12.940000,12.610000,12.660000,12.660000,160900
2019-04-17,12.760000,12.990000,12.130000,12.600000,12.600000,189000
2019-04-18,12.630000,12.915000,12.410000,12.530000,12.530000,82700
2019-04-22,12.460000,12.690000,12.280000,12.600000,12.600000,56600
2019-04-23,12.690000,12.950000,12.380000,12.380000,12.380000,205700
2019-04-24,11.830000,11.830000,11.015000,11.040000,11.040000,1133500
2019-04-25,9.700000,10.050000,9.670000,9.810000,9.810000,4736500
